id	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	Nhits	SNPh2	SNPh2_se	SNPh2_z	SNPh2_l	SNPh2_l_se	LambdaGC	Chi2	Intercept	Note	DateAdded	DateLastModified
1819	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001798.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1798		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Inter-trochanteric buckling ratio (GEE, female, adjussted for multivariable)	Inter-trochanteric buckling ratio	EUR			596	rsID	60156	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1820	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001799.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1799		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Inter-trochanteric buckling ratio (FBAT, male, adjussted for multivariable)	Inter-trochanteric buckling ratio	EUR			428	rsID	58928	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1821	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001800.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1800		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Inter-trochanteric buckling ratio (GEE, male, adjussted for multivariable)	Inter-trochanteric buckling ratio	EUR			428	rsID	59538	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1822	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001801.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1801		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Inter-trochanteric buckling ratio (FBAT, female, adjussted for age)	Inter-trochanteric buckling ratio	EUR			596	rsID	59408	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1823	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001802.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1802		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Inter-trochanteric buckling ratio (GEE, female, adjussted for age)	Inter-trochanteric buckling ratio	EUR			596	rsID	60176	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1824	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001803.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1803		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Inter-trochanteric buckling ratio (FBAT, male, adjussted for age)	Inter-trochanteric buckling ratio	EUR			428	rsID	58929	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1825	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001804.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1804		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Inter-trochanteric buckling ratio (GEE, male, adjussted for age)	Inter-trochanteric buckling ratio	EUR			428	rsID	59564	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1826	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001817.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1817		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Spine Neck BMD (FBAT, female, adjusted for multivariable)	Spine Neck bone mineral density	EUR			641	rsID	59482	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1827	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001818.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1818		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Spine Neck BMD (GEE, female, adjusted for multivariable)	Spine Neck bone mineral density	EUR			641	rsID	60282	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1828	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001819.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1819		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Spine Neck BMD (FBAT, male, adjusted for multivariable)	Spine Neck bone mineral density	EUR			486	rsID	59183	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1829	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001820.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1820		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Spine Neck BMD (GEE, male, adjusted for multivariable)	Spine Neck bone mineral density	EUR			486	rsID	59816	2									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1830	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001821.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1821		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck length (FBAT, female, adjusted for multivariable)	Neck length	EUR			619	rsID	59445	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1831	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001822.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1822		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck length (GEE, female, adjusted for multivariable)	Neck length	EUR			619	rsID	60232	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1832	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001823.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1823		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck length (FBAT, male, adjusted for multivariable)	Neck length	EUR			471	rsID	59141	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1833	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001824.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1824		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck length (GEE, male, adjusted for multivariable)	Neck length	EUR			471	rsID	59781	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1834	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001825.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1825		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck width (FBAT, female, adjusted for multivariable)	Neck width	EUR			618	rsID	59418	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1835	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001826.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1826		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck width (GEE, female, adjusted for multivariable)	Neck width	EUR			618	rsID	60213	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1836	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001827.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1827		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck width (FBAT, male, adjusted for multivariable)	Neck width	EUR			477	rsID	59137	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1837	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001828.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1828		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck width (GEE, male, adjusted for multivariable)	Neck width	EUR			477	rsID	59784	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1838	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001829.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1829		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck width (FBAT, female, adjusted for age)	Neck width	EUR			618	rsID	59452	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1839	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001830.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1830		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck width (GEE, female, adjusted for age)	Neck width	EUR			618	rsID	60231	2									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1840	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001831.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1831		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck width (FBAT, male, adjusted for age)	Neck width	EUR			477	rsID	59172	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1841	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001832.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1832		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck width (GEE, male, adjusted for age)	Neck width	EUR			477	rsID	59808	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1842	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001833.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1833		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck Section Modulus (FBAT, female, adjusted for multivariable)	Neck Section Modulus	EUR			618	rsID	59416	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1843	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001834.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1834		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck Section Modulus (GEE, female, adjusted for multivariable)	Neck Section Modulus	EUR			618	rsID	60213	2									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1844	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001835.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1835		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck Section Modulus (FBAT, male, adjusted for multivariable)	Neck Section Modulus	EUR			478	rsID	59137	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1845	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001836.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1836		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck Section Modulus (GEE, male, adjusted for multivariable)	Neck Section Modulus	EUR			478	rsID	59790	3									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1846	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001837.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1837		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck Section Modulus (FBAT, female, adjusted for age)	Neck Section Modulus	EUR			618	rsID	59452	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1847	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001838.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1838		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck Section Modulus (GEE, female, adjusted for age)	Neck Section Modulus	EUR			618	rsID	60231	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1848	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001839.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1839		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck Section Modulus (FBAT, male, adjusted for age)	Neck Section Modulus	EUR			478	rsID	59175	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1849	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001840.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1840		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck Section Modulus (GEE, male, adjusted for age)	Neck Section Modulus	EUR			478	rsID	59815	2									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1850	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001841.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1841		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck average buckling ratio (FBAT, female, adjussted for multivariable)	Neck average buckling ratio	EUR			618	rsID	59418	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1851	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001842.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1842		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck average buckling ratio (GEE, female, adjussted for multivariable)	Neck average buckling ratio	EUR			618	rsID	60213	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1852	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001843.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1843		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck average buckling ratio (FBAT, male, adjussted for multivariable)	Neck average buckling ratio	EUR			478	rsID	59122	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1853	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001844.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1844		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck average buckling ratio (GEE, male, adjussted for multivariable)	Neck average buckling ratio	EUR			478	rsID	59790	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1854	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001845.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1845		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck average buckling ratio (FBAT, female, adjussted for age)	Neck average buckling ratio	EUR			618	rsID	59452	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1855	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001846.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1846		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck average buckling ratio (GEE, female, adjussted for age)	Neck average buckling ratio	EUR			618	rsID	60231	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1856	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001847.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1847		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck average buckling ratio (FBAT, male, adjussted for age)	Neck average buckling ratio	EUR			478	rsID	59175	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1857	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001848.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1848		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck average buckling ratio (GEE, male, adjussted for age)	Neck average buckling ratio	EUR			478	rsID	59815	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1858	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001849.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1849		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck cross-sectional moment of inertia (FBAT, female, adjussted for multivariable)	Neck cross-sectional moment of inertia	EUR			618	rsID	59405	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1859	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001850.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1850		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck cross-sectional moment of inertia (GEE, female, adjussted for multivariable)	Neck cross-sectional moment of inertia	EUR			618	rsID	60213	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1860	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001851.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1851		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck cross-sectional moment of inertia (FBAT, male, adjussted for multivariable)	Neck cross-sectional moment of inertia	EUR			476	rsID	59114	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1861	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001852.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1852		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck cross-sectional moment of inertia (GEE, male, adjussted for multivariable)	Neck cross-sectional moment of inertia	EUR			476	rsID	59773	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1862	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001853.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1853		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck cross-sectional moment of inertia (FBAT, female, adjussted for age)	Neck cross-sectional moment of inertia	EUR			618	rsID	59452	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1863	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001854.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1854		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck cross-sectional moment of inertia (GEE, female, adjussted for age)	Neck cross-sectional moment of inertia	EUR			618	rsID	60231	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1864	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001855.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1855		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck cross-sectional moment of inertia (FBAT, male, adjussted for age)	Neck cross-sectional moment of inertia	EUR			476	rsID	59153	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1865	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001856.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1856		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck cross-sectional moment of inertia (GEE, male, adjussted for age)	Neck cross-sectional moment of inertia	EUR			476	rsID	59800	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1866	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001857.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1857		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck-Shaft Angle (FBAT, female, adjussted for multivariable)	Neck-Shaft Angle	EUR			622	rsID	59460	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1867	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001858.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1858		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck-Shaft Angle (GEE, female, adjussted for multivariable)	Neck-Shaft Angle	EUR			622	rsID	60244	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1868	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001859.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1859		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck-Shaft Angle (FBAT, male, adjussted for multivariable)	Neck-Shaft Angle	EUR			474	rsID	59144	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1869	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001860.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1860		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Neck-Shaft Angle (GEE, male, adjussted for multivariable)	Neck-Shaft Angle	EUR			474	rsID	59801	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1870	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001861.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1861		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft average buckling ratio (FBAT, female, adjussted for multivariable)	Shaft average buckling ratio	EUR			599	rsID	59369	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1871	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001862.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1862		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft average buckling ratio (GEE, female, adjussted for multivariable)	Shaft average buckling ratio	EUR			599	rsID	60162	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1872	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001863.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1863		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft average buckling ratio (FBAT, male, adjussted for multivariable)	Shaft average buckling ratio	EUR			429	rsID	58928	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1873	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001864.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1864		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft average buckling ratio (GEE, male, adjussted for multivariable)	Shaft average buckling ratio	EUR			429	rsID	59553	1									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1874	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001865.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1865		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft average buckling ratio (FBAT, female, adjussted for age)	Shaft average buckling ratio	EUR			599	rsID	59416	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1875	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001866.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1866		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft average buckling ratio (GEE, female, adjussted for age)	Shaft average buckling ratio	EUR			599	rsID	60182	2									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1876	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001867.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1867		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft average buckling ratio (FBAT, male, adjussted for age)	Shaft average buckling ratio	EUR			429	rsID	58945	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1877	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001868.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1868		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft average buckling ratio (GEE, male, adjussted for age)	Shaft average buckling ratio	EUR			429	rsID	59577	3									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1878	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001869.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1869		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft cross-sectional moment of inertia (FBAT, adjussted for multivariable)	Shaft cross-sectional moment of inertia	EUR			1026	rsID	59849	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1879	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001870.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1870		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft cross-sectional moment of inertia (GEE, adjussted for multivariable)	Shaft cross-sectional moment of inertia	EUR			1026	rsID	61041	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
1880	17903296	2007	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs000342/analyses/phs000342.pha001871.txt.gz	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1871		Skeletal	Structures Related to Movement	Structure of Pelvic Region	Shaft cross-sectional moment of inertia (FBAT, female, adjussted for multivariable)	Shaft cross-sectional moment of inertia	EUR			599	rsID	59369	0									Framingham Heart Study cohort.	2017-08-08	2017-08-08
